# Time,Isd_mean,Isd_std,Isd_rms,Isd_minTime,Ig_mean,Ig_std,Ig_rms,Ig_min
8.499924660000000586e+03,-3.432975999999999334e-07,3.718846358751595189e-09,3.433177420175076363e-07,-3.516199999999990153e-07,-1.112503999999999863e-09,5.468981155021838132e-09,5.580987369991084076e-09,-7.799300000000000561e-09
8.599924689999999828e+03,-3.383989999999997203e-07,3.729106461338935448e-09,3.384195464744905754e-07,-3.463400000000000162e-07,-6.314989999999996202e-10,4.003859451841308693e-09,4.053354351287335820e-09,-7.718699999999999826e-09
8.699924689999999828e+03,-3.394745999999999130e-07,3.634238137491791556e-09,3.394940525723535156e-07,-3.468799999999999933e-07,-6.862329999999999401e-10,3.800131231630162973e-09,3.861594632778016033e-09,-7.717400000000000668e-09
8.799924689999999828e+03,-3.406425999999999668e-07,3.422908301430178733e-09,3.406597969176872300e-07,-3.487799999999999772e-07,-1.587166999999999468e-09,3.229294956149248729e-09,3.598255827439174322e-09,-7.699199999999999221e-09
8.899924689999999828e+03,-3.358093999999998227e-07,3.317345269941041200e-09,3.358257850552871308e-07,-3.469599999999999781e-07,2.837769999999997946e-10,5.361720388566621574e-09,5.369224796085556838e-09,-7.784300000000000095e-09
8.999924650000000838e+03,-3.342919999999998014e-07,3.390709660233429029e-09,3.343091954703009342e-07,-3.438200000000000175e-07,-6.306840000000001767e-10,5.265679591766289920e-09,5.303314423169721577e-09,-7.781599999999999681e-09
9.099924660000000586e+03,-3.367833999999998154e-07,3.678733537509849926e-09,3.368034910686050194e-07,-3.455999999999990183e-07,3.452109999999999983e-10,5.339785354953791531e-09,5.350932467477047732e-09,-7.755499999999999533e-09
9.199924689999999828e+03,-3.399615999999999622e-07,4.673769938711111802e-09,3.399937258244627240e-07,-3.532000000000000128e-07,1.794758000000000101e-09,5.233443748760083176e-09,5.532638588413308518e-09,-7.748099999999999745e-09
9.299924650000000838e+03,-3.486079999999998881e-07,3.505031811553226650e-09,3.486256199879748973e-07,-3.593600000000000097e-07,-1.294639999999999988e-09,5.312934272678328489e-09,5.468396777429377411e-09,-7.700500000000000033e-09
9.399924660000000586e+03,-3.477859999999998559e-07,3.480629253454024555e-09,3.478034165674625575e-07,-3.575999999999990199e-07,2.115969999999999467e-10,5.583069825937250001e-09,5.587078124717784510e-09,-8.190700000000000677e-09
